time_s,mode,ttc_s,headway_s,v_in,w_in,v_out,w_out,step_ms
0.0,GUARDED,inf,1.25,12.0,0.0,0.0,0.0,0.0
0.1,GUARDED,inf,1.5875,9.6,0.0,9.6,0.0,0.0
0.2,GUARDED,inf,1.6124999999999998,9.6,0.0,9.6,0.0,0.0
0.3,GUARDED,inf,1.6375,9.6,0.0,9.6,0.0,0.0
0.4,GUARDED,inf,1.6624999999999999,9.6,0.0,9.6,0.0,0.0
0.5,GUARDED,inf,1.6874999999999996,9.6,0.0,9.6,0.0,0.0
0.6,GUARDED,inf,1.7125,9.6,0.0,9.6,0.0,0.0
0.7,GUARDED,inf,1.7374999999999996,9.6,0.0,9.6,0.0,0.0
0.8,GUARDED,inf,1.7624999999999995,9.6,0.0,9.6,0.0,0.0
0.9,GUARDED,inf,1.7874999999999994,9.6,0.0,9.6,0.0,0.0
1.0,GUARDED,inf,1.8124999999999991,9.6,0.0,9.6,0.0,0.0
1.1,GUARDED,inf,1.837499999999999,9.6,0.0,9.6,0.0,0.0
1.2,GUARDED,inf,1.862499999999999,9.6,0.0,9.6,0.0,0.0
1.3,GUARDED,inf,1.8874999999999986,9.6,0.0,9.6,0.0,0.0
1.4,GUARDED,inf,1.9124999999999985,9.6,0.0,9.6,0.0,0.0
1.5,GUARDED,inf,1.9374999999999987,9.6,0.0,9.6,0.0,0.0
1.6,GUARDED,inf,1.962499999999999,9.6,0.0,9.6,0.0,0.0
1.7,GUARDED,inf,1.9874999999999992,9.6,0.0,9.6,0.0,0.0
1.8,PASS,inf,2.0124999999999993,9.6,0.0,9.6,0.0,0.0
1.9,PASS,inf,2.0374999999999996,9.6,0.0,9.6,0.0,0.0
2.0,PASS,inf,2.0625,9.6,0.0,9.6,0.0,0.0
2.1,PASS,inf,2.0875,9.6,0.0,9.6,0.0,0.0
2.2,PASS,inf,2.1125000000000003,9.6,0.0,9.6,0.0,0.0
2.3,PASS,inf,2.1375000000000006,9.6,0.0,9.6,0.0,0.0
2.4,PASS,inf,2.1625000000000005,9.6,0.0,9.6,0.0,0.0
2.5,PASS,inf,2.187500000000001,9.6,0.0,9.6,0.0,0.0
2.6,PASS,inf,2.2125000000000012,9.6,0.0,9.6,0.0,0.0
2.7,PASS,inf,2.237500000000001,9.6,0.0,9.6,0.0,0.0
2.8,PASS,inf,2.2625000000000015,9.6,0.0,9.6,0.0,0.0
2.9,PASS,inf,2.287500000000002,9.6,0.0,9.6,0.0,0.0
3.0,PASS,inf,2.3125000000000018,9.6,0.0,9.6,0.0,0.0
3.1,PASS,inf,2.331250000000002,9.6,0.0,9.6,0.0,0.0
3.2,PASS,inf,2.3437500000000018,9.6,0.0,9.6,0.0,0.0
3.3,PASS,inf,2.350000000000002,9.6,0.0,9.6,0.0,0.0
3.4,PASS,inf,2.350000000000002,9.6,0.0,9.6,0.0,0.0
3.5,PASS,37.500000000000156,2.3437500000000018,9.6,0.0,9.6,0.0,0.0
3.6,PASS,18.650000000000052,2.331250000000002,9.6,0.0,9.6,0.0,0.0
3.7,PASS,12.333333333333362,2.3125000000000018,9.6,0.0,9.6,0.0,0.0
3.8,PASS,9.150000000000018,2.287500000000002,9.6,0.0,9.6,0.0,0.0
3.9,PASS,7.220000000000015,2.256250000000002,9.6,0.0,9.6,0.0,0.0
4.0,PASS,5.9166666666666785,2.218750000000002,9.6,0.0,9.6,0.0,0.0
4.1,PASS,4.97142857142858,2.175000000000002,9.6,0.0,9.6,0.0,0.0
4.2,PASS,4.250000000000007,2.1250000000000013,9.6,0.0,9.6,0.0,0.0
4.3,PASS,3.677777777777784,2.0687500000000014,9.6,0.0,9.6,0.0,0.0
4.4,PASS,3.210000000000005,2.0062500000000014,9.6,0.0,9.6,0.0,0.0
4.5,GUARDED,2.8181818181818215,1.9375000000000009,9.6,0.0,9.6,0.0,0.0
4.6,GUARDED,2.483333333333336,1.8625000000000012,9.6,0.0,9.6,0.0,0.0
4.7,GUARDED,2.1923076923076947,1.7812500000000009,9.6,0.0,9.6,0.0,0.0
4.8,GUARDED,1.9357142857142875,1.6937500000000005,9.6,0.0,9.6,0.0,0.0
4.9,GUARDED,1.706666666666668,1.6000000000000008,9.6,0.0,9.6,0.0,0.0
5.0,GUARDED,1.500000000000001,1.5000000000000007,9.6,0.0,9.6,0.0,0.0
5.1,GUARDED,1.4000000000000006,1.4000000000000006,9.6,0.0,0.0,0.0,0.0
5.2,GUARDED,1.6500000000000006,1.6500000000000006,7.68,0.0,7.68,0.0,0.0
5.3,GUARDED,1.5500000000000005,1.5500000000000005,7.68,0.0,7.68,0.0,0.0
5.4,GUARDED,1.4500000000000004,1.4500000000000004,7.68,0.0,0.0,0.0,0.0
5.5,GUARDED,1.7125,1.7125,6.144,0.0,6.144,0.0,0.0
5.6,GUARDED,1.6124999999999994,1.6124999999999994,6.144,0.0,6.144,0.0,0.0
5.7,GUARDED,1.5124999999999988,1.5124999999999988,6.144,0.0,6.144,0.0,0.0
5.8,GUARDED,1.4124999999999983,1.4124999999999983,6.144,0.0,0.0,0.0,0.0
5.9,GUARDED,1.6656249999999975,1.6656249999999975,4.9152000000000005,0.0,4.9152000000000005,0.0,0.0
6.0,GUARDED,1.5656249999999972,1.5656249999999972,4.9152000000000005,0.0,4.9152000000000005,0.0,0.0
6.1,GUARDED,1.4656249999999968,1.4656249999999968,4.9152000000000005,0.0,0.0,0.0,0.0
6.2,GUARDED,1.7320312499999955,1.7320312499999955,3.9321600000000005,0.0,3.9321600000000005,0.0,0.0
6.3,GUARDED,1.6320312499999947,1.6320312499999947,3.9321600000000005,0.0,3.9321600000000005,0.0,0.0
6.4,GUARDED,1.5320312499999942,1.5320312499999942,3.9321600000000005,0.0,3.9321600000000005,0.0,0.0
6.5,GUARDED,1.4320312499999936,1.4320312499999936,3.9321600000000005,0.0,0.0,0.0,0.0
6.6,GUARDED,1.6900390624999917,1.6900390624999917,3.1457280000000005,0.0,3.1457280000000005,0.0,0.0
6.7,GUARDED,1.5900390624999916,1.5900390624999916,3.1457280000000005,0.0,3.1457280000000005,0.0,0.0
6.8,GUARDED,1.4900390624999915,1.4900390624999915,3.1457280000000005,0.0,0.0,0.0,0.0
6.9,GUARDED,1.7625488281249904,1.7625488281249904,2.5165824000000003,0.0,2.5165824000000003,0.0,0.0
7.0,GUARDED,1.6625488281249914,1.6625488281249914,2.5165824000000003,0.0,2.5165824000000003,0.0,0.0
7.1,GUARDED,1.5625488281249924,1.5625488281249924,2.5165824000000003,0.0,2.5165824000000003,0.0,0.0
7.2,GUARDED,1.4625488281249932,1.4625488281249932,2.5165824000000003,0.0,0.0,0.0,0.0
7.3,GUARDED,1.7281860351562413,1.7281860351562413,2.0132659200000003,0.0,2.0132659200000003,0.0,0.0
7.4,GUARDED,1.6281860351562407,1.6281860351562407,2.0132659200000003,0.0,2.0132659200000003,0.0,0.0
7.5,GUARDED,1.5281860351562402,1.5281860351562402,2.0132659200000003,0.0,2.0132659200000003,0.0,0.0
7.6,GUARDED,1.4281860351562399,1.4281860351562399,2.0132659200000003,0.0,0.0,0.0,0.0
7.7,GUARDED,1.685232543945301,1.685232543945301,1.6106127360000002,0.0,1.6106127360000002,0.0,0.0
7.8,GUARDED,1.5852325439453023,1.5852325439453023,1.6106127360000002,0.0,1.6106127360000002,0.0,0.0
7.9,GUARDED,1.4852325439453038,1.4852325439453038,1.6106127360000002,0.0,0.0,0.0,0.0
8.0,GUARDED,1.756540679931632,1.756540679931632,1.2884901888000002,0.0,1.2884901888000002,0.0,0.0
8.1,GUARDED,1.6565406799316345,1.6565406799316345,1.2884901888000002,0.0,1.2884901888000002,0.0,0.0
8.2,GUARDED,1.556540679931637,1.556540679931637,1.2884901888000002,0.0,1.2884901888000002,0.0,0.0
8.3,GUARDED,1.4565406799316394,1.4565406799316394,1.2884901888000002,0.0,0.0,0.0,0.0
8.4,GUARDED,1.720675849914546,1.720675849914546,1.0307921510400002,0.0,1.0307921510400002,0.0,0.0
8.5,GUARDED,1.620675849914543,1.620675849914543,1.0307921510400002,0.0,1.0307921510400002,0.0,0.0
8.6,GUARDED,1.5206758499145399,1.5206758499145399,1.0307921510400002,0.0,1.0307921510400002,0.0,0.0
8.7,GUARDED,1.4206758499145369,1.4206758499145369,1.0307921510400002,0.0,0.0,0.0,0.0
8.8,GUARDED,1.6758448123931748,1.6758448123931748,0.8246337208320001,0.0,0.8246337208320001,0.0,0.0
8.9,GUARDED,1.5758448123931788,1.5758448123931788,0.8246337208320001,0.0,0.8246337208320001,0.0,0.0
9.0,GUARDED,1.4758448123931824,1.4758448123931824,0.8246337208320001,0.0,0.0,0.0,0.0
9.1,GUARDED,1.744806015491482,1.744806015491482,0.6597069766656001,0.0,0.6597069766656001,0.0,0.0
9.2,GUARDED,1.6448060154914859,1.6448060154914859,0.6597069766656001,0.0,0.6597069766656001,0.0,0.0
9.3,GUARDED,1.5448060154914895,1.5448060154914895,0.6597069766656001,0.0,0.6597069766656001,0.0,0.0
9.4,GUARDED,1.4448060154914935,1.4448060154914935,0.6597069766656001,0.0,0.0,0.0,0.0
9.5,GUARDED,1.7060075193643705,1.7060075193643705,0.5277655813324801,0.0,0.5277655813324801,0.0,0.0
9.6,GUARDED,1.6060075193643744,1.6060075193643744,0.5277655813324801,0.0,0.5277655813324801,0.0,0.0
9.7,GUARDED,1.506007519364378,1.506007519364378,0.5277655813324801,0.0,0.5277655813324801,0.0,0.0
9.8,GUARDED,1.406007519364382,1.406007519364382,0.5277655813324801,0.0,0.0,0.0,0.0
9.9,GUARDED,1.6575093992054744,1.6575093992054744,0.4222124650659841,0.0,0.4222124650659841,0.0,0.0
10.0,GUARDED,1.5575093992054716,1.5575093992054716,0.4222124650659841,0.0,0.4222124650659841,0.0,0.0
